Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,,4324.401074,8763.156488,14084.44696,16161.94934,15035.6917,14889.0232,15195.07284,14511.37709,13516.42877,12645.91139,12366.10199,12621.97518,13109.74224,12523.09699,12665.67757,11737.38804,11592.81398,12325.52991,11973.11072,11276.1837,11298.14354,11676.65693,11746.07727,11665.55676,12234.34164,13000.25073,13199.55606,13809.61863,14386.70282,13928.82329,14657.60923,14481.81782,15741.59477,17156.79125,18280.83102,18821.58028,19172.82216,19591.52665,19899.03176,19798.39852,19779.77613,18267.62687,18065.89867,18020.48157,17758.71123,16737.95341,15370.58984,14164.22626,14654.00364,15286.61321,15036.22961,15434.8597,15513.16642,15798.78143,16396.74773,17117.88077,17913.50966,19530.36854,21047.39831,22008.68321,19878.43504,20550.21873,19541.27368,18063.64555,18358.29318,21092.04773,21371.81995,25816.38208,25697.17533,25427.45237,26296.45888,26131.55784,25597.98466,27227.65311,29065.92201
United States of America,175907.1211,189048.9721,404493.1391,569793.143,586649.3779,506170.9154,479135.875,485404.8729,499255.4055,496293.6162,499769.7276,487469.3429,508088.2799,550543.8186,543046.5018,524941.326,527240.4231,623402.8659,715710.0346,738695.6029,706246.2342,654512.9122,588882.5722,588035.6188,558825.1393,551528.072,521239.1844,507060.2588,526196.5568,529525.2394,532564.3408,531335.3504,591834.5707,699941.1118,683519.9677,718935.0364,770711.5522,821654.8588,814913.2154,797865.9861,791125.5269,758217.2865,669786.5332,705819.6868,668046.7216,633319.0603,591579.8358,559401.1583,556507.3245,543941.2631,545279.8161,566381.0092,570980.9576,641102.5302,729680.5569,795293.5172,831923.866,843911.6623,866430.4709,929457.8236,1002596.417,1031257.143,1019045.941,962443.2343,888413.2167,833765.0167,814831.4027,812331.0399,803961.2266,828158.3079,875217.3627,916416.6383,906594.2544,896121.2034,916014.7,968381.5949
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.5145422,358.1635362,253.2205278,193.6119594,177.2196901,169.4002147,157.8554141,141.7563952,98.97512719,93.58296449,108.3794382,119.8730849,136.2165029,136.0259877,152.8108949,167.0161037,173.0170609,212.5112518,263.0003418,309.8948048,245.189267,263.3980061,261.9937173,256.0407104,241.0610576,234.2864525,204.0188987,196.3622545,203.7813646,220.587521,248.1504685,240.5638705,254.7896242,267.458529,397.6176131,481.5032369
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5108.733546,4126.607047,2233.957527,1688.067644,1275.755854,1092.851144,1075.905069,882.7276421,824.2070326,953.0695364,1080.727206,1114.067576,1233.814939,1244.941888,1266.467158,1183.443729,1210.769759,1198.612478,1401.947029,1369.551895,1092.546867,1030.508298,856.9449422,858.119529,925.6200391,865.1399121,877.0484847,939.5643158,974.144078,1202.653966,2761.258525,1382.765437,1470.391652,1615.3568,1989.703478,2265.106015
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278.346346,2893.439,3251.668767,3458.401396,3241.304798,3269.986614,2521.098658,1966.095268,1393.206945,1290.710917,1396.322965,1130.031161,1026.679937,1071.24419,1082.775476,1114.290969,1279.393934,1165.7469,1080.220617,1118.136389,1022.007998,976.673594,1095.973384,1091.001075,1037.650475,1102.440653,1076.918388,1168.351671,1140.696732,1486.073688,1421.562812,1439.060332,1565.006167
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3642.701978,3762.798988,3608.48228,3579.972669,3385.142527,3674.381981,3984.139379,4113.780261,3957.596686,4224.469491,4587.708269,4404.66787,4815.76709,4448.706682,4293.297331,3660.374261,3768.645496,3418.819196,3078.829461,2959.644943,2822.312132,2808.423343,2919.313505,3164.39224,3160.401442,3726.774158,4106.05522,4503.017004,4902.800269,4668.038958,5056.27731,6676.022941
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.91693835,90.12338208,114.6563618,113.6083223,110.5285475,147.5135155,156.1709466,194.1877539,229.0224667,267.2421364,319.0851972,368.8196007,389.0327208,372.6122795,408.3919261,553.0980588,541.4533994,469.1168196,449.1635199,477.9257878,558.3753224,576.8242282,617.4260574,671.9196725,722.284571,743.4271427,781.7493578,834.7626218,928.3808109,891.3267519,917.5184756,1235.949715,1392.657913
Hungary,,,,,,,,,,,,,,,,,,,,,,,,2838.615614,2767.046286,3034.269563,3266.9584,3066.071368,3191.983762,3616.337456,3595.00972,3587.242002,3702.982775,3659.863948,3739.781097,3545.620267,5529.613667,3586.283113,3638.233933,4205.772279,3332.403244,2883.150997,2165.500493,2092.020503,1801.946503,1784.173326,1343.788115,1263.765586,1554.392013,1388.898133,1587.371912,1751.773054,1924.108704,2101.174769,2267.874042,2099.924687,2078.744287,1862.707893,1897.191754,1763.20444,1571.603428,1409.862079,1429.339231,1360.565928,1286.573307,1267.265216,1425.474983,1628.403524,2055.757751,1861.211227,2626.590311,3403.606503,2776.015516,4020.709172,4355.47807,4718.443187
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.3054891,133.5616773,129.4277772,100.6247799,97.45025692,104.9884155,136.4609235,170.4697731,213.9747427,349.8415778,403.6106864,435.6776251,506.9854321,637.3327418,694.7638495,680.7114958,432.3149903,327.3323208,338.7465899,311.3943663,334.3388639,346.7442371,395.8338704,570.5090939,647.8250456,883.067551,883.2153691,928.3436797,961.0330973,958.1145323,1253.79644,1404.771352
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.7050239,116.8899286,121.6945429,135.5051892,222.6686735,387.2888483,296.2121791,386.8851309,453.6376592,452.2286842,442.3367653,510.2906222,556.2814992,615.6987483,671.226982,692.231942,522.2411488,435.9416172,420.8652901,421.5245297,436.1508714,524.4435165,698.714049,936.4043438,1137.21289,1369.255675,1460.608979,1521.586224,1559.348558,1943.968047,2162.912001,2602.061272
