Country;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023e;2024e
Albania;1,34652;1,16231;1,10361;1,10913;1,16053;1,2808;1,29584;1,24299;1,20879;1,7467930732534500;2,0294680677363800
Belgium;0,971016;0,9093;0,894691;0,883573;0,89136;0,888422;1,01238;1,03878;1,18237;1,2085158248904200;1,299161108495250
Bulgaria;1,30908;1,24635;1,2436;1,22194;1,44918;3,13342;1,59367;1,51715;1,59229;1,9601292018493200;2,1786672466802100
Canada;1,00637;1,20072;1,15892;1,437;1,29826;1,29448;1,40908;1,27035;1,19814;1,3079334199420400;1,3651551143938300
Croatia;1,81193;1,74863;1,58655;1,62935;1,53762;1,59335;1,68914;1,95473;1,78263;1,7423631899478700;1,8065856886024500
Czechia;0,943748;1,0214;0,95097;1,03199;1,10317;1,18008;1,30031;1,38962;1,3407;1,3700774469056300;2,095574480758240
Denmark;1,14932;1,1114;1,14769;1,13827;1,27755;1,29506;1,37715;1,30011;1,36765;2,0140061730168400;2,374576871428170
Estonia;1,92874;2,02541;2,06783;2,01333;2,01103;2,03805;2,29932;2,03406;2,16129;3,036916660275080;3,4314625890573800
Finland;1,45171;1,4499;1,41989;1,38346;1,38688;1,45211;1,52989;1,39733;1,67534;2,0868874863780400;2,4140772955536300
France;1,81895;1,78207;1,78913;1,77644;1,80767;1,81156;2;1,90843;1,87876;1,9561660598988700;2,059744897819820
Germany;1,18515;1,18728;1,20147;1,23085;1,24993;1,34862;1,51298;1,45308;1,50552;1,6403680556852700;2,118977088667620
Greece;2,22225;2,30942;2,40124;2,37881;2,53979;2,44635;2,91065;3,69969;3,88102;2,803834474499340;3,0759535261611000
Hungary;0,85781;0,904721;1,00202;1,19355;1,00607;1,33524;1,75938;1,3236;1,83909;2,0520955175979000;2,1107658032713600
Italy;1,1397;1,06652;1,17825;1,2015;1,22526;1,17131;1,5883;1,53883;1,52296;1,4992084830145300;1,4910941208035400
Latvia;0,93563;1,03263;1,43535;1,59235;2,06007;2,02243;2,16095;2,08735;2,11826;2,873898633212690;3,1480258529892400
Lithuania;0,879675;1,13777;1,47754;1,71213;1,96538;2;2,06554;1,95633;2,44507;2,780720161795810;2,849551588957080
Luxembourg;0,367697;0,414488;0,379708;0,494782;0,501349;0,54737;0,578304;0,471568;0,562986;1,1167638664846700;1,2935808360974400
Montenegro;1,50447;1,40417;1,42305;1,3407;1,36893;1,33334;1,73203;1,55492;1,37798;1,5447837923097600;2,0172837757020900
Netherlands;1,15163;1,13246;1,15787;1,14853;1,21694;1,32445;1,40797;1,36028;1,43768;1,6612832958028500;2,049546147373070
North Macedonia;1,0884;1,0471;0,970116;0,894993;0,942988;1,15912;1,24059;1,45371;1,60607;1,8082085530643800;2,221300113890190
Norway;1,53901;1,5823;1,73369;1,70516;1,71529;1,84373;1,96599;1,67632;1,46437;1,81238925032338;2,197652936058630
Poland;1,87527;2,22514;2,00046;1,89485;2,01564;1,9864;2,23116;2,21582;2,22531;3,260153162516580;4,120190989357150
Portugal;1,30777;1,32647;1,26752;1,23718;1,34009;1,37454;1,43;1,52497;1,40103;1,4768234988331800;1,5475688452189300
Romania;1,34766;1,45072;1,42775;1,73371;1,79166;1,83561;2,00894;1,85261;1,7353;1,5971568724538200;2,251627755078180
Slovak Republic;0,984305;1,11008;1,11624;1,1039;1,22216;1,70449;1,92138;1,74171;1,80704;1,8403974021029300;2
Slovenia;0,973738;0,930119;1,00429;0,981636;1,00847;1,05235;1,05859;1,23338;1,29265;1,3387935100893700;1,2908213732437300
Spain;0,920751;0,927547;0,808856;0,905646;0,928032;0,905746;1,00446;1,02647;1,1594;1,193760264972240;1,282549642204320
Sweden;1,06443;1,01056;0,974907;0,966639;0,97101;1,04074;1,09473;1,42117;1,45286;1,6594402994141400;2,143210151776060
Türkiye;1,44664;1,38336;1,45449;1,51013;1,81591;1,8525;1,86013;1,60528;1,35696;1,49884416942347;2,089020297615040
United Kingdom;2,14238;2,0319;2,0882;2,0772;2,10017;2,08194;2,35208;2,28902;2,28529;2,3026834331913700;2,332260225508710
United States;3,71392;3,50507;3,49608;3,28209;3,25713;3,47159;3,57734;3,52684;3,31207;3,232423677565310;3,3790207262385600
